YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-10,WEEKENDS/HOLIDAY,22,TRAIN,NS14,4773,12990
2020-10,WEEKENDS/HOLIDAY,21,TRAIN,NS10,5005,18425
2020-10,WEEKDAY,21,TRAIN,NS10,13061,48527
2020-10,WEEKDAY,12,TRAIN,DT3,6793,3420
2020-10,WEEKENDS/HOLIDAY,12,TRAIN,DT3,3833,1802
2020-10,WEEKENDS/HOLIDAY,13,TRAIN,DT27,2343,1575
2020-10,WEEKDAY,13,TRAIN,DT27,8188,4172
2020-10,WEEKDAY,22,TRAIN,NS17/CC15,5056,9074
2020-10,WEEKENDS/HOLIDAY,22,TRAIN,NS17/CC15,2100,3708
2020-10,WEEKDAY,9,TRAIN,EW6,11187,6615
2020-10,WEEKENDS/HOLIDAY,9,TRAIN,EW6,4528,2472
2020-10,WEEKENDS/HOLIDAY,0,TRAIN,NE15,10,401
2020-10,WEEKDAY,0,TRAIN,NE15,33,867
2020-10,WEEKDAY,6,TRAIN,EW5,36370,13810
